Player,Salary
Kobe Bryant,30453805
Dirk Nowitzki,22721381
Carmelo Anthony,21388953
Amar'e Stoudemire,21679893
Joe Johnson,21466718
Dwight Howard,20513178
Pau Gasol,19285850
LeBron James,19067500
Chris Bosh,19067500
Dwyane Wade,18673000
Chris Paul,18668431
Deron Williams,18466130
Rudy Gay,17888931
Kevin Durant,17832627
Zach Randolph,17800000
Derrick Rose,17632688
Blake Griffin,16441500
Paul Pierce,15333334
Carlos Boozer,15300000
Marc Gasol,14860523
Russell Westbrook,14693906
Kevin Love,14693906
Brook Lopez,14693906
LaMarcus Aldridge,14628000
Emeka Okafor,14487500
Eric Gordon,14283844
Roy Hibbert,14283844
Luol Deng,14275000
Tyson Chandler,14100538
Danny Granger,14021788
Andrew Bogut,14000000
David Lee,13878000
James Harden,13701250
Josh Smith,13500000
Al Jefferson,13500000
Ben Gordon,13200000
Nene Hilario,13000000
Andre Iguodala,12868632
Tony Parker,12500000
Kevin Garnett,12443735
Serge Ibaka,12250000
Andrew Bynum,12250000
Nikola Pekovic,12100000
Hedo Turkoglu,12000000
David West,12000000
Kris Humphries,12000000
Al Horford,12000000
Rajon Rondo,11954545
Andrea Bargnani,11862500
Nicolas Batum,11295250
Joakim Noah,11100000
Richard Jefferson,11046000
DeAndre Jordan,10986550
Ty Lawson,10786517
JaVale McGee,10750000
Tim Duncan,10361446
Tyreke Evans,10300000
Danilo Gallinari,10146925
Gerald Wallace,10105855
Tiago Splitter,10000000
Stephen Curry,9887642
DeMar DeRozan,9500000
Paul Millsap,9500000
Shawn Marion,9316796
Steve Nash,9300500
Jrue Holiday,9213484
Anderson Varejao,9036364
Andris Biedrins,9000000
Kendrick Perkins,8977437
Jeff Green,8965000
Thaddeus Young,8850000
Jameer Nelson,8600000
Charlie Villanueva,8580000
Rodney Stuckey,8500000
Omer Asik,8374646
Jeremy Lin,8374646
Mike Harris,884293
Ryan Anderson,8308500
Mike Conley,8200001
Marcus Thornton,8050000
Caron Butler,8000000
O.J. Mayo,8000000
George Hill,8000000
Monta Ellis,8000000
Jeff Teague,8000000
Ersan Ilyasova,7900000
Arron Afflalo,7750000
Trevor Ariza,7727280
Marcin Gortat,7727280
Brandon Jennings,7655503
John Salmons,7583000
Taj Gibson,7550000
Marvin Williams,7500000
Manu Ginobili,7500000
Goran Dragic,7500000
John Wall,7459925
Tayshaun Prince,7235955
xavier henry,884293
Wesley Matthews,6875480
Jose Calderon,6791570
Kyle Korver,6760563
Evan Turner,6679867
Amir Johnson,6500000
Carl Landry,6500000
Spencer Hawes,6500000
Kevin Martin,6500000
Brandon Bass,6450000
Channing Frye,6400000
Glen Davis,6400000
Wilson Chandler,6344164
J.J. Redick,6300000
Jarrett Jack,6300000
Landry Fields,6250000
Kyle Lowry,6210000
Jason Richardson,6204250
Derrick Favors,6008196
Michael Beasley,6000000
Gerald Henderson,6000000
Robin Lopez,5904261
Chuck Hayes,5722500
Jason Thompson,5643750
Jason Terry,5625313
Kyrie Irving,5607240
J.R. Smith,5565000
Anthony Davis,5375760
Anthony Bennett,5324280
Jamal Crawford,5225000
Courtney Lee,5225000
Louis Williams,5225000
Zaza Pachulia,5200000
Martell Webster,5150000
J.J. Hickson,5150000
Keith Bogans,5058198
Derrick Williams,5016960
Chase Budinger,5000000
Andre Miller,5000000
Brandan Wright,5000000
Ramon Sessions,5000000
DeMarcus Cousins,4916974
Michael Kidd-Gilchrist,4809840
Victor Oladipo,4763760
Boris Diaw,4702500
Jose Barea,4687000
Luc Mbah a Moute,4588384
Luis Scola,4508504
Enes Kanter,4505280
Corey Brewer,4500000
Jonas Jerebko,4500000
Tony Allen,4494382
Ekpe Udoh,4469548
Timofey Mozgov,4400000
Udonis Haslem,4340000
Luke Ridnour,4320000
Bradley Beal,4319280
Otto Porter,4278000
Jared Dudley,4250000
Earl Clark,4250000
Greg Monroe,4086454
Tristan Thompson,4062000
Kirk Hinrich,4059000
Ricky Rubio,4002120
Brandon Rush,4000000
Mario Chalmers,4000000
Steve Blake,4000000
Ian Mahinmi,4000000
Elton Brand,4000000
Matt Bonner,3945000
Thabo Sefolosha,3900000
Dion Waiters,3894240
Cody Zeller,3857040
Joel Anthony,3800000
Danny Green,3762500
Steve Novak,3750000
Samuel Dalembert,3700748
Al-Farouq Aminu,3700000
Raymond Felton,3637073
Al Harrington,3574300
Jordan Hill,3500000
Jonas Valanciunas,3526440
Thomas Robinson,3526440
Gerald Green,3500000
Shannon Brown,3500000
Marreese Speights,3500000
Gordon Hayward,3452183
Jan Vesely,3340920
Paul George,3282003
Shane Battier,3270000
Gary Neal,3250000
Carlos Delfino,3250000
Matt Barnes,3250000
Alonzo Gee,3250000
Darrell Arthur,3231683
Ray Allen,3229050
Mirza Teletovic,3229050
Damian Lillard,3202920
Tyler Hansbrough,3183000
Chris Kaman,3183000
Mike Dunleavy,3183000
Andrei Kirilenko,3183000
Vince Carter,3180000
Ed Davis,3153860
Alexey Shved,3150000
Jerryd Bayless,3135000
Patrick Patterson,3105302
Lavoy Allen,3060000
Larry Sanders,3053368
Bismack Biyombo,3049920
Travis Outlaw,3000000
Dorell Wright,3000000
Kosta Koufos,3000000
Chris Copeland,3000000
Randy Foye,3000000
Kwame Brown,2945901
Harrison Barnes,2923920
Alex Len,2910600
Joel Freeland,2897976
Ben McLemore,2895960
Quentin Richardson,2808600
Brandon Knight,2793960
Will Bynum,2790343
Marcus Camby,2763054
Kevin Seraphin,2761114
Marco Belinelli,2750000
Aaron Gray,2690875
Terrence Ross,2678640
Kentavious Caldwell-Pope,2653080
Mo Williams,2652000
Greg Stiemsma,2652000
Wayne Ellington,2652000
Josh McRoberts,2652000
Nerlens Noel,2643600
Eric Bledsoe,2626473
Nick Collison,2585668
Kemba Walker,2568360
DeMarre Carroll,2557545
Avery Bradley,2511432
Jason Maxiell,2500000
Jason Smith,2500000
Chauncey Billups,2500000
Andre Drummond,2462400
Jimmer Fredette,2439840
Trey Burke,2438760
Trevor Booker,2350820
Austin Rivers,2339040
Klay Thompson,2317920
C.J. McCollum,2316720
Quincy Pondexter,2225479
C.J. Miles,2225000
Meyers Leonard,2222160
Alec Burks,2202000
Dante Cunningham,2180000
Jordan Crawford,2162419
Greivis Vasquez,2150188
Jeremy Lamb,2111160
Markieff Morris,2091840
Steven Adams,2090880
Brendan Haywood,2050000
Eric Maynor,2016000
C.J. Watson,2016000
Nate Robinson,2016000
Kendall Marshall,2005560
Jermaine O'Neal,2000000
Victor Faverani,2000000
Marcus Morris,1987320
Kelly Olynyk,1986360
John Henson,1905360
Darren Collison,1900000
Kawhi Leonard,1887840
Shabazz Muhammad,1887120
Michael Carter-Williams,1834100
[Fran Vasquez] [#11 in 2005],1834100
Maurice Harkless,1809840
Nikola Vucevic,1793520
Giannis Antetokounmpo,1792560
Jeff Ayres,1750000
Luigi Datome,1750000
Anthony Randolph,1750000
Royce White,1719480
Iman Shumpert,1703760
Reggie Evans,1695635
Jeremy Evans,1660257
Tyler Zeller,1633440
Chris Singleton,1618680
John Lucas,1600000
Toney Douglas,1600000
Pablo Prigioni,1591350
Metta World Peace,1590000
Terrence Jones,1551840
Jodie Meeks,1550000
Tobias Harris,1545840
Shane Larkin,1536960
Ronny Turiaf,1500000
Viacheslav Kravtsov,1500000
Miroslav Raduljica,1500000
James Jones,1500000
Chris Duhon,1500000
Gustavo Ayon,1500000
Andrew Nicholson,1482000
Sergey Karasev,1467840
Nando De Colo,1463000
Donatas Motiejunas,1422720
Evan Fournier,1422720
Lucas Nogueira,1419200
Tony Snell,1409040
Quentin Richardson,1399507
Chris Andersen,1399507
Rashard Lewis,1399507
Willie Green,1399507
Andray Blatche,1375604
Kenneth Faried,1367640
Jared Sullinger,1365720
Gorgui Dieng,1352640
Dennis Schroeder,1348200
Victor Claver,1330000
Fab Melo,1311240
Mason Plumlee,1298640
D.J. Augustin,1267000
Ronnie Price,1265977
Francisco Garcia,1265977
Reggie Jackson,1260360
John Jenkins,1258800
Solomon Hill,1246680
MarShon Brooks,1210080
Jared Cunningham,1208400
Hasheem Thabeet,1200000
Pero Antic,1200000
Tim Hardaway,1196760
Jordan Hamilton,1169880
Tony Wroten,1160040
Reggie Bullock,1149000
Patrick Mills,1133950
Norris Cole,1129200
Miles Plumlee,1121520
Cory Joseph,1120920
Jimmy Butler,1112880
Andre Roberson,1110840
Nick Young,1106942
Arnett Moultrie,1089240
Perry Jones,1082520
Rudy Gobert,1078800
Marquis Teague,1074720
Festus Ezeli,1066920
Archie Goodwin,1064400
Nemanja Nedovic,1056720
Kyle Singler,1045000
Nikola Mirotic,1038900
Anthony Morrow,1027424
Donte Greene,1027424
Lance Stephenson,1005000
Richard Hamilton,1000000
Ishmael Smith,951463
Austin Daye,947907
Byron Mullens,947907
Omri Casspi,947907
Reggie Williams,947907
Alan Anderson,947907
Chandler Parsons,926500
Daniel Orton,916099
Chris Johnson,916099
James Anderson,916099
Jeff Adrien,916099
Livio Jean-Charles,893500
Cartier Martin,1027424
Al Harrington,1399507
Garrett Temple,916099
Isaiah Thomas,884293
Terrel Harris,884293
Earl Watson,1399507
P.J. Tucker,884293
E'Twaun Moore,884293
Ryan Gomes,1186459
Derek Fisher,1399507
DeAndre Liggins,884293
Beno Udrih,1272279
Jeremy Tyler,884293
Kenyon Martin,1399507
Lance Thomas,884293
Greg Oden,1027424
Mike Miller,1399507
Jordan Farmar,1106941
Wesley Johnson,916099
Ryan Hollins,1186459
Donald Sloan,884293
Greg Smith,884293
Marcus Camby,1399507
Aaron Brooks,1027424
Malcolm Lee,884293
Josh Harrellson,884293
DeJuan Blair,947907
Devin Harris,1272279
Nazr Mohammed,1399507
Anthony Tolliver,1027424
Jannero Pargo,1399507
Shaun Livingston,1272279
Shelvin Mack,884293
Draymond Green,875500
Allen Crabbe,825000
Jerel McNeal,788872
Quincy Acy,788872
Aron Baynes,788872
Will Barton,788872
Doron Lamb,788872
Kyle O'Quinn,788872
Brian Roberts,788872
Darius Miller,788872
Khris Middleton,788872
Jarvis Varnado,788872
Willie Reed,788872
Josh Akognon,788872
Robert Sacre,788872
Orlando Johnson,788872
Patrick Beverley,788872
Tim Ohlbrecht,788872
Kent Bazemore,788872
Quincy Miller,788872
Bernard James,788872
Jae Crowder,788872
Jeff Taylor,788872
Tornike Shengelia,788872
Tyshawn Taylor,788872
Mike Scott,788872
Dwight Buycks,700000
Aaron Brooks,674193
Isaiah Canaan,570515
Ricky Ledo,544000
Jamaal Franklin,535000
Ray McCallum,524616
Carrick Felix,510000
Nate Wolters,500000
Tony Mitchell,500000
Glen Rice,490180
Ian Clark,490180
Dee Bost,490180
C.J. Leslie,490180
Arinze Onuaku,490180
Jeff Withey,490180
Eric Griffin,490180
Nick Calathes,490180
Elias Harris,490180
Robert Covington,490180
B.J. Young,490180
Jordan Henriquez,490180
Peyton Siva,490180
Gal Mekel,490180
Matt Dellavedova,490180
Phil Pressey,490180
Hamed Haddadi,200000
Tyler Honeycutt,100000
Jeremy Tyler,100000
-,0
